_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
191,Child care,Hamilton,Complete,2024-01-21,Hamilton,Central,1021381,43.2577016,-79.8604361,21-Jan,0,1,0,0
192,Child care,Hamilton,Complete,2024-09-21,Hamilton,Central,1832545,43.125831,-79.8115922,21-Sep,0,1,0,0
193,Child care,Hamilton,Complete,2024-01-21,Hamilton,Central,1285635,43.27093,-79.9557,21-Jan,0,1,0,0
194,Child care,Hamilton,Complete,2024-09-20,Hamilton,Central,124860,43.2419,-79.8361,20-Sep,0,1,1,0
195,Child care,Hamilton,Complete,2024-09-20,Hamilton,Central,510000,43.23949,-79.781398,20-Sep,0,1,0,0
196,Child care,Hamilton,Complete,2024-09-19,Hamilton,Central,2040000,43.251328,-79.827643,19-Sep,0,1,0,0
197,Child care,Hamilton,Complete,2024-09-20,Hamilton,Central,2040000,43.232829,-79.757515,20-Sep,0,1,0,0
198,Child care,Hamilton,Complete,2024-06-23,Hamilton,Central,3098948,43.33907842,-79.87700107,23-Jun,0,1,0,0
199,Child care,Hamilton,Planning,2024-03-26,Hamilton,Central,1636562,43.22656,-79.82413,26-Mar,0,1,0,0
200,Child care,Havelock-Belmont-Methuen,Complete,2024-09-19,Peterborough,East,771457,44.43647,-77.87936,19-Sep,0,1,0,0
201,Child care,Hawkesbury,Complete,2024-09-18,Prescott and Russell,East,520000,45.601625,-74.617772,18-Sep,0,1,0,0
202,Child care,Ignace,Complete,2024-07-24,Kenora,Northwest,1401956,49.40932797,-91.66086208,24-Jul,0,1,0,1
203,Child care,Kapuskasing,Complete,2024-09-19,Cochrane,Northeast,403337,49.40793,-82.40249,19-Sep,0,1,0,0
204,Child care,Kawartha Lakes,Complete,2024-09-18,Kawartha Lakes,East,750000,44.544744,-78.5437,18-Sep,0,1,0,0
205,Child care,Kenora,Complete,2024-02-21,Kenora,Northwest,806672,49.77279,-94.47243,21-Feb,0,1,0,1
206,Child care,Kenora,Complete,2024-03-21,Kenora,Northwest,418485,49.76,-94.561,21-Mar,0,1,0,1
207,Child care,Kenora,Complete,2024-09-20,Kenora,Northwest,403337,49.78139,-94.46025,20-Sep,0,1,0,0
208,Child care,Kenora,Complete,2024-09-19,Kenora,Northwest,400000,49.76328,-94.528036,19-Sep,0,1,0,0
209,Child care,Kenora,Complete,2024-09-18,Kenora,Northwest,350000,49.758838,-94.485998,18-Sep,0,1,0,0
210,Child care,Kenora,Complete,2024-12-24,Kenora,Northwest,610032,49.75911,-94.5565,24-Dec,0,1,0,1
211,Child care,Kingston,Complete,2024-09-20,Frontenac,East,525000,44.303401,-76.417618,20-Sep,0,1,0,0
212,Child care,Kingston,Complete,2024-09-18,Frontenac,East,262500,44.232158,-76.482082,18-Sep,0,1,0,0
213,Child care,Kingston,Complete,2024-09-18,Frontenac,East,30000,44.239504,-76.484677,18-Sep,0,1,0,0
214,Child care,Kingston,Complete,2024-09-18,Frontenac,East,50000,44.26532,-76.481805,18-Sep,0,1,0,0
215,Child care,Kingston,Complete,2024-09-18,Frontenac,East,50000,44.318795,-76.540841,18-Sep,0,1,0,0
216,Child care,Kingston,Complete,2024-09-18,Frontenac,East,50000,44.275282,-76.569004,18-Sep,0,1,0,0
217,Child care,Kingston,Complete,2024-09-18,Frontenac,East,50000,44.219013,-76.568118,18-Sep,0,1,0,0
218,Child care,Kitchener,Complete,2024-09-18,Waterloo,Southwest,450000,43.452673,-80.484791,18-Sep,0,1,0,0
219,Child care,Kitchener,Complete,2024-01-23,Waterloo,Southwest,3506047,43.45226,-80.4189,23-Jan,0,1,0,0
220,Child care,Kitchener,Complete,2024-02-22,Waterloo,Southwest,4033365,43.43297,-80.50816,22-Feb,0,1,0,0
221,Child care,Leamington,Complete,2024-09-18,Essex,Southwest,264690,42.10155,-82.46322,18-Sep,0,1,0,1
223,Child care,London,Under construction,2024-09-25,Middlesex,Southwest,6110158,43.02133,-81.21294,25-Sep,0,1,0,0
224,Child care,London,Complete,2024-02-24,Middlesex,Southwest,267412,42.9748,-81.32824,24-Feb,0,1,1,1
225,Child care,Loyalist,Complete,2024-09-18,Lennox and Addington,East,1575000,44.222287,-76.656862,18-Sep,0,1,0,0
226,Child care,"Macdonald, Meredith and Aberdeen Add'l",Complete,2024-09-20,Algoma,Northeast,655422,46.48567,-84.0637,20-Sep,0,1,0,0
227,Child care,Machin,Complete,2024-07-24,Kenora,Northwest,1225488,49.8567,-93.3849,24-Jul,0,1,0,1
228,Child care,Madawaska Valley,Complete,2024-09-18,Renfrew,East,1606266,45.49113,-77.67575,18-Sep,0,1,0,0
229,Child care,Markham,Complete,2024-09-23,York,Central,1951469,43.82408,-79.38771,23-Sep,0,1,0,1
230,Child care,Markham,Complete,2024-09-20,York,Central,896094,43.83266,-79.28245,20-Sep,0,1,0,0
231,Child care,Markstay-Warren,Complete,2024-09-18,Sudbury,Northeast,504171,46.4929,-80.54006,18-Sep,0,1,0,1
232,Child care,Middlesex Centre,Complete,2024-09-19,Middlesex,Southwest,530000,43.0781,-81.375367,19-Sep,0,1,0,0
233,Child care,Milton,Complete,2024-04-21,Halton,Central,3067683,43.53378,-79.8643,21-Apr,0,1,0,0
234,Child care,Minden Hills,Complete,2024-09-18,Haliburton,East,750000,44.931786,-78.727562,18-Sep,0,1,0,0
235,Child care,Minto,Complete,2024-09-20,Wellington,Southwest,1732476,43.8308,-80.84328,20-Sep,0,1,0,1
236,Child care,Mississauga,Complete,2024-09-22,Peel,Central,823208,43.71775,-79.6476,22-Sep,0,1,0,0
237,Child care,Mississauga,Complete,2024-01-21,Peel,Central,771116,43.5832,-79.59252,21-Jan,0,1,0,0
238,Child care,Mississauga,Complete,2024-09-21,Peel,Central,2358675,43.58586,-79.57214,21-Sep,0,1,0,0
239,Child care,Mississauga,Complete,2024-01-21,Peel,Central,1553921,43.57791,-79.76129,21-Jan,0,1,0,0
240,Child care,Mississauga,Complete,2024-09-21,Peel,Central,1008341,43.56624,-79.75858,21-Sep,0,1,0,0
241,Child care,Mississauga,Complete,2024-02-21,Peel,Central,1205845,43.58188,-79.63583,21-Feb,0,1,0,0
