_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
1327,Health care,Complete,4475400,0,1,0,1,42.762878,-81.180783,2025
1328,Health care,Under construction,6622100,0,1,0,1,42.762878,-81.180783,2025
1329,Health care,Complete,9623500,0,1,0,1,46.46809364,-80.99667725,2025
1330,Health care,Planning,0,0,1,0,0,46.49509046,-81.00785479,2025
1331,Health care,Complete,0,0,1,0,1,48.4381,-89.222415,2025
1332,Health care,Under construction,0,0,1,0,1,48.428793,-89.269491,2025
1333,Health care,Complete,9297400,0,1,0,1,48.428793,-89.269491,2025
1334,Health care,Planning,0,0,1,0,1,48.43824671,-89.22265542,2025
1335,Health care,Planning,0,0,1,0,1,48.428793,-89.269491,2025
1336,Health care,Planning,0,0,1,0,0,48.37949611,-89.247545,2025
1337,Health care,Under construction,16722000,0,1,0,0,48.47158417,-81.33884449,2025
1338,Health care,Under construction,14731900,0,1,0,1,43.721696,-79.376026,2025
1339,Health care,Complete,44403300,0,1,0,1,43.669035,-79.378269,2025
1340,Health care,Complete,633309700,0,1,0,1,43.643075,-79.417319,2025
1341,Health care,Complete,0,0,1,0,1,43.723951,-79.488617,2025
1342,Health care,Under construction,436191900,0,1,0,1,43.689759,-79.325922,2025
1343,Health care,Complete,388067600,0,1,0,1,43.657456,-79.390347,2025
1344,Health care,Under construction,350550900,0,1,0,1,43.65367,-79.377729,2025
1345,Health care,Complete,28598567,0,1,0,1,43.670326,-79.383202,2025
1346,Health care,Complete,24456800,0,1,0,1,43.634803,-79.432709,2025
1347,Health care,Complete,1030418700,0,1,0,1,43.690044,-79.508181,2025
1348,Health care,Complete,358320300,0,1,0,1,43.729423,-79.598176,2025
1349,Health care,Complete,0,0,1,0,1,43.661621,-79.387636,2025
1350,Health care,Under construction,36604600,0,1,0,1,43.756193,-79.246939,2025
1351,Health care,Complete,9890900,0,1,0,1,43.658248,-79.390683,2025
1352,Health care,Complete,103692217,0,1,0,1,43.640457,-79.450307,2025
1353,Health care,Planning,0,0,1,0,1,43.794889,-79.310276,2025
1354,Health care,Planning,0,0,1,0,1,43.780398,-79.204549,2025
1355,Health care,Planning,0,0,1,0,1,43.658117,-79.390725,2025
1356,Health care,Under construction,1500031500,0,1,0,1,43.64385513,-79.41759389,2025
1362,Health care,Complete,40000000,0,1,0,1,43.76973258,-79.36323399,2025
1363,Health care,Under construction,484211847,0,1,0,1,43.653386,-79.405942,2025
1364,Health care,Planning,0,0,1,0,1,43.80238988,-79.30885107,2025
1365,Health care,Under construction,19786406,0,1,0,1,43.658248,-79.390683,2025
1366,Health care,Complete,31402200,0,1,0,1,43.65678247,-79.37064562,2025
1368,Health care,Under construction,0,0,1,0,1,43.66676034,-79.48656337,2025
1369,Health care,Planning,0,0,1,0,0,43.71154042,-79.54514663,2025
1370,Health care,Under construction,12948000,0,1,0,1,43.63977084,-79.45063273,2025
